epoch,train_loss,val_loss,lr,time_sec
1,0.011150590204981681,0.0048560177289657174,0.001,17.5
2,0.0013959046049129176,0.002903162473031491,0.001,16.7
3,0.0010057596794875532,0.004430558146659199,0.001,16.7
4,0.0009110580297486707,0.002175948203090995,0.001,16.8
5,0.0008083576735928012,0.004517529391466125,0.001,16.8
6,0.0007525188687803416,0.004200618519175087,0.001,16.9
7,0.000682232449173756,0.004952761227430433,0.001,16.7
8,0.0006706549347132102,0.006403194489011136,0.001,16.8
9,0.0006430371127214454,0.010613117250230923,0.001,16.7
10,0.0005981877736209346,0.013194264831039809,0.001,16.7
11,0.0005109916438131818,0.017486694155530513,0.0005,16.7
12,0.000490872479270041,0.02520851984636944,0.0005,16.7
13,0.00048165384582350907,0.02612058744738246,0.0005,16.8
14,0.0004668605619915708,0.04192107878656028,0.0005,16.8
