model,scenario,temp_condition,n_windows,params,mae_pct,rmse_pct,maxe_pct,pvr_discharge_eps0,pvr_charge_eps0,pvr_rest_eps0,pvr_total_eps0,pvr_discharge_eps0.0005,pvr_discharge_eps0.001,pvr_discharge_eps0.0025,pvr_discharge_eps0.005,pvr_discharge_eps0.01,delta_soc_mae,pred_true_delta_ratio_discharge
vanilla_lstm,scenario_A,ALL,18914,53569,10.4838,13.3712,51.0242,49.9694,62.897,99.9719,58.545,36.3929,26.7325,14.2582,8.0524,4.369,4.575e-03,20.0925
vanilla_lstm,scenario_A,40degC,6148,53569,6.4844,8.5752,47.9546,50.7759,70.1251,99.9175,60.5218,28.5953,16.9729,7.9654,5.394,4.1346,3.640e-03,17.8923
vanilla_lstm,scenario_A,n10degC,7387,53569,9.7955,12.1932,47.1829,49.6957,63.5842,100.0,57.7932,38.1852,28.2373,14.1293,7.4323,3.904,4.615e-03,19.5447
vanilla_lstm,scenario_A,n20degC,5379,53569,16.0,18.4513,51.0242,49.4199,53.5069,99.9973,57.3179,42.922,35.9559,21.7702,12.0311,5.3042,5.589e-03,22.9381
vanilla_lstm+posthoc_clamp,scenario_A,ALL,18914,53569,21.7819,25.5561,48.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.326e-04,0.5664
vanilla_lstm+posthoc_clamp,scenario_A,40degC,6148,53569,23.9351,27.7352,47.9546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.362e-04,0.5555
vanilla_lstm+posthoc_clamp,scenario_A,n10degC,7387,53569,21.6461,25.2531,47.1829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.365e-04,0.5795
vanilla_lstm+posthoc_clamp,scenario_A,n20degC,5379,53569,19.5074,23.2705,48.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.233e-04,0.5591
hard_coulomb_lstm,scenario_A,ALL,18914,54626,9.8736,12.7107,55.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.078e-04,0.718
hard_coulomb_lstm,scenario_A,40degC,6148,54626,5.2386,6.8986,24.4342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.098e-04,0.7775
hard_coulomb_lstm,scenario_A,n10degC,7387,54626,9.8275,11.9092,52.0541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.134e-04,0.6762
hard_coulomb_lstm,scenario_A,n20degC,5379,54626,15.2344,17.8587,55.1126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.787e-05,0.7179
null_ocv_coulomb[ocv25_qnom],scenario_A,ALL,18914,0,9.7184,13.2436,86.9666,0.0,0.0,14.7105,1.8158,0.0,0.0,0.0,0.0,0.0,5.230e-05,0.8537
null_ocv_coulomb[ocv25_qnom],scenario_A,40degC,6148,0,3.0647,4.4496,21.8785,0.0,0.0,14.147,1.7756,0.0,0.0,0.0,0.0,0.0,4.422e-05,0.9291
null_ocv_coulomb[ocv25_qnom],scenario_A,n10degC,7387,0,10.9591,13.4405,86.9666,0.0,0.0,17.1053,1.8573,0.0,0.0,0.0,0.0,0.0,5.480e-05,0.8456
