eta,gamma_mode,gated_delta_ratio,gated_maxe_pct,gated_rmse_40,gated_rmse_n20,gated_rmse_pct,mag_sat_high_pct,mag_sat_low_pct,mode,rec_delta_ratio,rec_maxe_pct,rec_rmse_40,rec_rmse_n20,rec_rmse_pct,win_delta_ratio,win_maxe_pct,win_rmse_40,win_rmse_n20,win_rmse_pct
1.287,nominal,0.6447,36.9924,6.3452,14.8994,14.7249,12.67,18.038,inference_sweep,0.6447,36.9924,13.3105,14.8994,16.1655,0.6447,46.0394,4.2268,16.7511,11.048
1.3,nominal,0.6512,36.543,6.2818,14.6662,14.5032,12.67,18.038,inference_sweep,0.6512,36.543,13.0186,14.6662,15.8936,0.6512,46.0217,4.2264,16.7512,11.048
1.5,nominal,0.7514,29.6282,5.3887,11.1109,11.147,12.67,18.038,inference_sweep,0.7514,29.6282,8.5837,11.1109,11.7799,0.7514,46.1873,4.2214,16.7544,11.0486
1.75,nominal,0.8766,21.0785,4.5866,6.8562,7.2502,12.67,18.038,inference_sweep,0.8766,21.0785,3.6317,6.8562,7.0721,0.8766,46.54,4.2184,16.7586,11.05
2.0,nominal,1.0018,15.8296,4.3151,3.5936,4.5593,12.67,18.038,inference_sweep,1.0003,15.8296,3.885,3.5936,4.4318,1.0018,46.8928,4.2189,16.7633,11.0524
2.5,nominal,1.2464,26.8949,5.5104,8.4719,7.9443,12.67,18.038,inference_sweep,1.1952,27.624,11.5722,8.4719,9.8372,1.2523,47.5982,4.2306,16.7737,11.0596
3.0,nominal,1.4715,39.6698,7.4976,17.2015,13.9687,12.67,18.038,inference_sweep,1.3601,38.9805,18.0095,17.2015,16.8012,1.5028,48.3037,4.2564,16.7857,11.0702
1.287,temp_aware,0.7638,27.9296,5.7229,8.3998,9.9496,12.67,18.038,inference_sweep,0.7638,27.9296,10.3297,8.3998,11.0919,0.7638,46.4085,4.2231,16.757,11.0499
1.3,temp_aware,0.7715,27.3949,5.6603,8.1175,9.6969,12.67,18.038,inference_sweep,0.7715,27.3949,10.0124,8.1175,10.7797,0.7715,46.4321,4.2228,16.7573,11.05
1.5,temp_aware,0.8902,19.2778,4.8375,4.2536,6.172,12.67,18.038,inference_sweep,0.8902,19.2778,5.3185,4.2536,6.2993,0.8902,46.7954,4.2191,16.762,11.0516
1.75,temp_aware,1.0384,15.9093,4.3274,4.6374,4.6682,12.67,18.038,inference_sweep,1.038,15.9093,3.0987,4.6374,4.339,1.0386,47.2495,4.2184,16.7684,11.0547
2.0,temp_aware,1.1839,24.1977,4.5642,9.7519,7.6725,12.67,18.038,inference_sweep,1.1687,24.1977,7.0495,9.7519,8.2613,1.187,47.7036,4.2221,16.7754,11.0589
2.5,temp_aware,1.4559,38.3149,6.5606,20.5975,15.1243,12.67,18.038,inference_sweep,1.3738,38.3149,15.1333,20.5975,17.0058,1.4837,48.6117,4.2423,16.7914,11.071
3.0,temp_aware,1.6902,46.9948,8.6516,27.1172,20.4237,12.67,18.038,inference_sweep,1.5464,46.9948,21.219,27.1172,23.2196,1.7805,49.5199,4.2795,16.8099,11.0877
1.287,nominal,0.5517,30.5036,8.3893,12.8763,14.0312,34.027,43.835,retrained_eta1.287,0.5517,30.7648,20.4965,12.8763,17.6226,0.5517,48.2171,4.6132,16.6224,11.0034
2.0,nominal,1.2307,36.1287,5.6795,18.9128,14.3206,55.436,14.709,retrained_eta2,1.1797,36.1287,9.2513,18.9128,14.9136,1.349,46.8608,4.4745,16.7009,11.0405
