model,scenario,dataset_version,decimation_mode,delta_ratio_disch,label_mode,mae_pct,maxe_40degC,maxe_n10degC,maxe_n20degC,maxe_pct,pvr_disch_eps0,pvr_disch_eps0.005,rmse_40degC,rmse_n10degC,rmse_n20degC,rmse_pct,seed
null[oracle_qtemp],scenario_A,v5c,mean_per_second,1.0091,ohmic_corrected,0.0172,0.2334,0.2198,0.163,0.2334,0.0,0.0,0.0239,0.0267,0.0263,0.0257,
hc_anchor_last,scenario_A,v5c,mean_per_second,0.6215,ohmic_corrected,8.2162,14.908,24.206,37.8496,37.8496,0.0,0.0,4.3095,8.6373,16.5361,10.6273,42
hc_anchor_pooled,scenario_A,v5c,mean_per_second,0.6998,ohmic_corrected,8.0029,15.2318,30.1643,42.0228,42.0228,0.0,0.0,5.3768,8.387,16.6194,10.7434,42
hard_coulomb_tcn,scenario_A,v5c,mean_per_second,0.8528,ohmic_corrected,8.1737,16.5119,35.6549,43.2938,43.2938,0.0,0.0,4.7741,9.2865,16.6462,10.9496,42
hard_coulomb_lstm,scenario_A,v5c,mean_per_second,0.7514,ohmic_corrected,8.3104,13.9266,34.0738,46.1952,46.1952,0.0,0.0,4.2199,9.661,16.756,11.0493,42
vanilla_lstm,scenario_A,v5c,mean_per_second,19.6033,ohmic_corrected,8.6532,44.5207,46.292,46.8817,46.8817,47.2401,6.9855,5.2009,10.0812,17.3787,11.5921,42
null[ocv25_qnom],scenario_A,v5c,mean_per_second,0.8432,ohmic_corrected,9.4241,21.703,47.8052,60.9376,60.9376,0.0,0.0,3.3659,12.0935,19.5747,13.0297,
null[ocv25_qtemp],scenario_A,v5c,mean_per_second,1.0077,ohmic_corrected,9.5106,21.7239,47.7368,60.1359,60.1359,0.0,0.0,3.4054,12.2032,19.7392,13.143,
vanilla+posthoc_clamp,scenario_A,v5c,mean_per_second,0.5933,ohmic_corrected,21.3423,44.5219,46.2915,46.8818,46.8818,0.0,0.0,26.7453,24.8317,23.1923,25.0261,42
null[oracle_qtemp],scenario_B,v5c,mean_per_second,1.0065,ohmic_corrected,0.0117,0.2017,0.1707,0.1084,0.422,0.0,0.0,0.021,0.0199,0.0148,0.0213,
hc_anchor_pooled,scenario_B,v5c,mean_per_second,0.7043,ohmic_corrected,3.1534,8.9891,17.9479,33.073,33.073,0.0,0.0,2.878,7.3814,7.8274,4.6272,42
hc_anchor_last,scenario_B,v5c,mean_per_second,0.6873,ohmic_corrected,3.2638,7.1778,23.3466,31.1265,31.1265,0.0,0.0,2.4818,6.7054,8.2696,4.6792,42
vanilla_lstm,scenario_B,v5c,mean_per_second,20.3627,ohmic_corrected,4.0629,36.2101,49.2061,50.637,50.637,35.1596,3.1474,3.2931,10.0961,8.8031,6.3485,42
hard_coulomb_tcn,scenario_B,v5c,mean_per_second,1.2133,ohmic_corrected,5.1884,9.3342,28.531,41.8622,41.8622,0.0,0.0,3.0181,13.3801,11.2856,7.4517,42
null[ocv25_qnom],scenario_B,v5c,mean_per_second,0.8789,ohmic_corrected,4.8606,7.7486,84.6812,36.3161,94.7159,0.0,0.0,2.6213,9.0941,14.319,7.5278,
null[ocv25_qtemp],scenario_B,v5c,mean_per_second,1.004,ohmic_corrected,4.8977,7.7753,84.6812,36.3623,94.6823,0.0,0.0,2.6524,9.153,14.4014,7.5757,
hard_coulomb_lstm,scenario_B,v5c,mean_per_second,0.5006,ohmic_corrected,8.451,15.564,27.7384,35.3573,35.3573,0.0,0.0,6.0539,13.5451,7.8601,9.8729,42
vanilla+posthoc_clamp,scenario_B,v5c,mean_per_second,0.674,ohmic_corrected,28.7948,36.4827,49.2073,50.638,50.638,0.0,0.0,27.0318,33.8154,20.9058,30.0747,42
